RMSE,MAE
1141.8722179981532,1140.5301258087159
1060.5769381997893,631.848670578003
993.5672966795885,736.6038921356201
980.1648206565408,894.4015993118286
969.5516176376499,648.2730728149414
889.1395000944012,951.0795307159424
917.3377193450564,793.2818235397339
860.0581185886309,537.1233730316162
1222.2843355414018,704.9510042190552
831.8598993379759,773.221975517273
1079.045116686669,746.6338161468506
1232.8975385602926,552.3518587112427
769.0327980264916,963.8684871673584
906.7245163261656,904.4315233230591
1232.8975385602926,904.4315233230591
977.4065931056386,704.9510042190552
870.6713216075217,800.872218322754
1021.7655159302434,704.9510042190552
607.325400684879,641.8785945892334
1120.6458119603715,783.2518995285034
961.6966421696612,800.872218322754
1155.2746940212007,773.221975517273
988.0197961245294,799.6763017654418
1208.881859518354,704.9510042190552
941.3533983869947,972.7024946212769
1141.8722179981532,947.4440849304199
1089.6583197055597,862.7487113952636
1068.4319136677782,904.4315233230591
706.2056967150072,957.4740089416504
898.8695408581767,711.3454824447632
706.2056967150072,877.9771970748901
1141.8722179981532,667.1370042800903
889.1395000944015,688.5266019821167
997.7498368883049,1055.8347522735596
1285.111436852886,694.9210802078247
980.1648206565408,889.2030376434326
980.1648206565408,804.8748634338378
1005.6048123562938,720.1794898986816
982.9540936606975,799.6763017654418
997.7498368883049,490.4753656387329
878.5262970755106,727.7698846817017
920.1269923492131,973.8984111785888
1092.4475927097164,904.4315233230591
1008.3630399071957,941.0496067047119
1131.2590149792625,474.05096340179443
917.3377193450564,862.7487113952636
980.1648206565408,872.7786354064941
1092.4475927097164,410.97855377197266
1232.8975385602926,457.62656116485596
1232.8975385602926,553.5477752685547
1170.0704372488083,879.1731136322021
1271.7089608298384,846.3243091583251
860.0581185886309,658.3029968261719
988.0197961245294,806.07077999115
1008.3630399071957,879.1731136322021
1180.6836402676988,688.5266019821167
988.0197961245294,804.8748634338378
927.9509223639473,600.195782661438
706.2056967150072,552.3518587112427
917.3377193450564,982.7324186325073
807.8442202960374,809.7062257766723
1107.243335937324,799.6763017654418
1120.6458119603717,537.1233730316162
1045.7811949721818,879.1731136322021
860.0581185886309,615.4242683410645
1107.243335937324,784.4478160858155
815.6991957640261,631.848670578003
596.7121976659882,879.1731136322021
930.740195368104,774.417892074585
898.8695408581768,696.1169967651367
917.3377193450564,879.1731136322021
961.6966421696612,877.9771970748901
698.3507212470183,631.848670578003
1079.0451166866687,967.5039329528809
867.9130940566196,931.0196826934814
1120.6458119603717,879.1731136322021
898.8695408581767,793.2818235397339
1000.508064439207,474.05096340179443
1131.2590149792625,746.6338161468506
997.749836888305,562.3817827224732
769.0327980264916,894.4015993118286
1018.9762429260866,789.6463777542115
1198.2686564994633,721.3754064559937
969.5516176376499,862.7487113952636
941.353398386995,625.454192352295
961.6966421696612,730.2094139099121
1071.19014121868,616.6201848983765
1008.3630399071957,737.7998086929322
917.3377193450564,553.5477752685547
